Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-June-2016,964.95,976.00,934.00,952.35,952.855125594025797691,7365,803,7017778.00,1804,24.49,42.00,-12.60
22-June-2016,952.25,960.00,947.00,948.60,952.454800936768149882,2135,292,2033491.00,585,27.40,13.00,-3.65
21-June-2016,956.20,965.00,946.00,952.25,953.684069886947584789,4865,502,4639673.00,1336,27.46,19.00,-3.95
20-June-2016,945.00,959.20,940.00,948.25,948.429626590069757899,2437,380,2311323.00,736,30.20,19.20,3.25
17-June-2016,942.25,957.10,940.35,952.00,948.646035524629188793,5461,625,5180556.00,1470,26.92,16.75,9.75
16-June-2016,957.60,957.60,933.00,935.10,943.009950248756218905,4221,602,3980445.00,1597,37.83,24.60,-22.50
15-June-2016,964.95,976.95,956.00,961.85,963.783498885059801337,4933,529,4754344.00,1224,24.81,20.95,-3.10
14-June-2016,955.25,973.90,955.05,959.25,966.445743329097839898,11805,1297,11408892.00,2849,24.13,18.85,4.00
13-June-2016,944.00,954.55,921.20,952.00,946.300659285980843388,8039,853,7607311.00,2445,30.41,33.35,8.00
10-June-2016,904.80,942.00,904.45,935.25,930.512612739571589627,14192,1613,13205835.00,3266,23.01,37.55,30.45
9-June-2016,939.95,940.40,901.95,904.80,920.988265102013601813,7499,903,6906491.00,2654,35.39,38.45,-35.15
8-June-2016,916.90,945.60,907.00,939.60,927.538256270923293387,20611,2309,19117491.00,5061,24.55,38.60,22.70
7-June-2016,886.50,934.95,880.35,914.80,916.362017360071834780,13364,1919,12246262.00,1769,13.24,54.60,28.30
6-June-2016,890.00,891.00,883.00,883.85,885.007779345861496942,201945,241,178722896.00,200671,99.37,8.00,-6.15
3-June-2016,903.85,903.85,885.00,894.60,892.449490043710539096,8236,656,7350214.00,3198,38.83,18.85,-9.25
2-June-2016,898.75,905.00,885.50,900.95,898.341463414634146341,4100,501,3683200.00,1260,30.73,19.50,2.20
1-June-2016,885.00,908.00,879.30,903.00,897.907904565226943187,22759,2545,20435486.00,3077,13.52,28.70,18.00
31-May-2016,845.00,888.10,841.90,878.05,860.872206977655821246,12755,1559,10980425.00,5275,41.36,46.20,33.05
30-May-2016,842.00,849.25,836.10,844.30,843.663900414937759336,3615,621,3049845.00,1466,40.55,13.15,2.30
27-May-2016,848.30,865.00,820.05,837.60,845.808922599718896912,41266,3024,34903151.00,7047,17.08,44.95,-10.70
26-May-2016,854.00,856.00,839.30,843.55,848.734362628661916072,2526,392,2143903.00,1295,51.27,16.70,-10.45
25-May-2016,850.00,852.10,844.80,847.50,848.298267326732673267,808,144,685425.00,297,36.76,7.30,-2.50
24-May-2016,855.00,858.60,840.00,841.45,845.129855293221629855,2626,387,2219311.00,822,31.30,18.60,-13.55
23-May-2016,875.65,890.00,840.00,864.05,858.698866213151927437,13230,1262,11360586.00,7001,52.92,50.00,-11.60
20-May-2016,845.00,900.00,844.35,870.45,875.296583066823767042,53469,2324,46801233.00,33281,62.24,55.65,25.45
19-May-2016,845.00,847.90,834.75,840.85,841.805792163543441226,587,101,494140.00,358,60.99,13.15,-4.15
18-May-2016,841.15,848.95,830.05,833.85,837.758351101634683724,1407,236,1178726.00,432,30.70,18.90,-7.30
17-May-2016,840.00,845.95,832.00,836.20,841.119644723092998955,1914,286,1609903.00,961,50.21,13.95,-3.80
16-May-2016,841.10,847.20,835.00,841.35,841.619617224880382775,418,123,351797.00,177,42.34,12.20,0.25
13-May-2016,840.85,855.00,836.65,841.10,847.061757719714964370,3368,394,2852904.00,1300,38.60,18.35,0.25
12-May-2016,840.05,843.70,832.00,839.20,839.475060827250608272,1644,225,1380097.00,759,46.17,11.70,-0.85
11-May-2016,830.00,855.90,829.80,841.10,840.696137339055793991,3495,618,2938233.00,1446,41.37,26.10,11.10
10-May-2016,841.00,842.00,827.90,830.10,835.457079970652971386,1363,218,1138728.00,485,35.58,14.10,-10.90
9-May-2016,835.00,845.00,832.00,839.70,839.193600867678958785,1844,305,1547473.00,745,40.40,13.00,4.70
6-May-2016,836.30,852.70,823.10,828.55,835.642950963222416812,9136,867,7634434.00,1676,18.35,29.60,-7.75
5-May-2016,850.30,854.85,829.90,834.75,847.030519969856819894,2654,509,2248019.00,1545,58.21,24.95,-15.55
4-May-2016,836.00,859.30,836.00,846.95,851.287130057018734727,7366,804,6270581.00,2612,35.46,23.30,10.95
3-May-2016,825.00,849.90,825.00,844.20,839.956305858987090367,4028,536,3383344.00,1392,34.56,24.90,19.20
2-May-2016,836.25,839.70,822.20,827.50,831.757797781034121833,4777,513,3973307.00,1574,32.95,17.50,-8.75
29-April-2016,820.00,844.00,819.00,842.10,834.592284866468842729,6740,650,5625152.00,2694,39.97,25.00,22.10
28-April-2016,820.00,829.80,810.95,815.55,822.998087431693989071,3660,485,3012173.00,1636,44.70,18.85,-4.45
27-April-2016,814.10,825.00,806.60,813.40,814.813559322033898305,2124,302,1730664.00,777,36.58,18.40,-0.70
26-April-2016,819.50,823.90,810.85,814.90,817.181232091690544412,2792,396,2281570.00,933,33.42,13.05,-4.60
25-April-2016,820.00,821.75,807.80,814.60,813.493065187239944521,1442,239,1173057.00,691,47.92,13.95,-5.40
22-April-2016,830.00,832.80,822.20,824.05,825.428571428571428571,2303,224,1900962.00,1144,49.67,10.60,-5.95
21-April-2016,805.70,826.00,805.70,822.35,818.031959728400842893,8542,891,6987629.00,3016,35.31,20.30,16.65
20-April-2016,805.90,810.80,801.20,806.45,805.871144278606965174,4020,530,3239602.00,1395,34.70,9.60,0.55
18-April-2016,806.00,812.00,797.05,800.85,803.633050847457627118,2360,343,1896574.00,1094,46.36,14.95,-5.15
13-April-2016,800.00,816.00,795.00,806.30,805.199119911991199119,19089,1551,15370446.00,6760,35.41,21.00,6.30
12-April-2016,747.00,802.00,747.00,797.75,786.936825779769084956,29015,2341,22832972.00,7197,24.80,55.00,50.75
11-April-2016,726.95,745.50,726.95,742.85,740.018583042973286875,1722,352,1274312.00,911,52.90,18.55,15.90
8-April-2016,734.35,738.00,722.20,725.20,732.366621983914209115,1492,247,1092691.00,558,37.40,15.80,-9.15
7-April-2016,731.50,738.65,722.00,725.30,731.483471074380165289,1210,206,885095.00,442,36.53,16.65,-6.20
