Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-November-2015,335.10,337.80,334.00,335.55,335.890712072680377241,190753,2576,64072161.00,80887,42.40,3.80,0.45
3-November-2015,336.40,338.70,332.70,334.65,335.187800085878235072,153706,1962,51520376.00,55769,36.28,6.00,-1.75
2-November-2015,334.00,339.40,329.70,337.25,335.001290790427846265,275800,3282,92393356.00,106928,38.77,9.70,3.25
30-October-2015,350.25,351.00,331.40,334.70,337.931767648188560772,825283,10957,278889343.00,173763,21.05,19.60,-15.55
29-October-2015,354.00,355.00,347.20,349.75,349.733194968646364972,270782,4003,94701454.00,82997,30.65,7.80,-4.25
28-October-2015,355.80,358.90,353.80,354.75,356.470628117419390007,293512,3491,104628407.00,115560,39.37,5.10,-1.05
27-October-2015,354.10,357.00,353.20,355.80,355.400140840758090689,228627,2253,81254068.00,116199,50.82,3.80,1.70
26-October-2015,358.35,359.75,354.00,356.40,357.376213435363158098,232089,2249,82943088.00,118287,50.97,5.75,-1.95
23-October-2015,352.00,358.90,351.95,358.30,355.769669558865184787,536616,5809,190911697.00,307269,57.26,6.95,6.30
21-October-2015,348.00,350.00,347.60,348.50,348.602626807775013703,142302,1355,49606851.00,75771,53.25,2.40,0.50
20-October-2015,351.00,351.00,346.45,347.90,348.702869612345608580,140228,2408,48897906.00,66002,47.07,4.55,-3.10
19-October-2015,348.85,352.00,345.30,350.90,350.248441860415461185,468347,5071,164037807.00,242208,51.72,6.70,2.05
16-October-2015,348.70,349.95,343.40,348.85,346.554322717902329752,257581,3778,89265809.00,85937,33.36,6.55,0.15
15-October-2015,344.35,352.50,344.00,349.65,349.940172162212450912,510565,5295,178667204.00,273181,53.51,8.50,5.30
14-October-2015,344.95,345.45,342.65,344.35,344.209137556069049884,176568,2476,60776319.00,65058,36.85,2.80,-0.60
13-October-2015,342.00,346.00,340.80,344.05,343.997898456076894738,238872,3458,82171466.00,101558,42.52,5.20,2.05
12-October-2015,344.00,348.00,338.75,340.70,342.344311816719313284,340636,3728,116614797.00,118532,34.80,9.25,-3.30
9-October-2015,338.55,344.50,338.55,343.25,342.608099966729710368,333631,4156,114304683.00,127668,38.27,5.95,4.70
8-October-2015,347.00,347.00,335.50,339.15,338.681977088151454848,446232,6056,151130736.00,193421,43.35,11.50,-7.85
7-October-2015,343.10,348.20,342.60,346.30,345.685137158158854660,474270,6985,163948090.00,198792,41.92,5.60,3.20
6-October-2015,332.00,343.75,329.05,342.90,337.185185287936690687,720905,9500,243078486.00,326534,45.30,14.70,10.90
5-October-2015,330.10,331.35,327.00,329.05,329.160167658796513053,269118,3315,88582926.00,119864,44.54,4.35,-1.05
1-October-2015,327.00,333.60,327.00,328.80,329.125824702723436900,625680,4639,205927446.00,290130,46.37,6.60,1.80
30-September-2015,320.35,330.00,319.90,328.90,326.824667949213792913,8423862,6289,2753125901.00,8085045,95.98,10.10,8.55
29-September-2015,319.00,325.05,317.00,320.35,321.406320979867115074,329759,3978,105986627.00,99801,30.26,8.05,1.35
28-September-2015,323.85,325.05,318.20,319.00,320.908618696534539008,194635,2458,62460049.00,76135,39.12,6.85,-4.85
24-September-2015,316.70,323.80,315.00,322.65,319.648902011657871411,340714,3544,108908856.00,96999,28.47,8.80,5.95
23-September-2015,310.00,318.85,308.00,316.05,315.249177754522350127,294316,4115,92782877.00,80888,27.48,10.85,6.05
22-September-2015,315.40,318.25,310.00,312.05,315.039095372243958271,304921,5337,96062036.00,148052,48.55,8.25,-3.35
21-September-2015,318.80,318.80,313.55,314.30,315.097398009148495704,161338,2176,50837184.00,75506,46.80,5.25,-4.50
18-September-2015,323.15,327.35,315.00,318.50,320.267919260796521395,404760,4268,129631643.00,136217,33.65,12.35,-4.65
16-September-2015,318.00,322.20,317.30,321.30,320.283816808429605179,189048,2451,60549015.00,69491,36.76,4.90,3.30
15-September-2015,315.00,317.30,312.80,316.75,315.394615305492696975,194440,2331,61325329.00,49935,25.68,4.50,1.75
14-September-2015,313.75,314.90,311.55,313.35,313.247669533778089435,466323,2400,146074593.00,351154,75.30,3.35,-0.40
11-September-2015,314.50,316.15,311.70,313.05,314.840380212213064388,291311,2475,91716466.00,173760,59.65,4.45,-1.45
10-September-2015,311.70,315.60,310.60,313.50,313.773401065687258550,309847,3825,97221747.00,141894,45.79,5.00,1.80
9-September-2015,315.00,316.50,313.00,314.20,314.955451198451055921,540239,2948,170151218.00,380671,70.46,3.50,-0.80
8-September-2015,313.15,315.60,310.40,313.00,312.757590229072442326,320379,4110,100200964.00,111095,34.68,5.20,-0.15
7-September-2015,316.00,319.30,311.00,313.25,317.168612472655381771,170966,3365,54225049.00,55485,32.45,8.30,-2.75
4-September-2015,321.00,321.15,314.50,316.45,318.164943150153139721,209939,3722,66795230.00,56678,27.00,6.65,-4.55
